id,dim_1,dim_2,dim_3,dim_4,dim_5
row_1,1.449,1.6847,-0.0738,-0.2713,1.9591
row_2,-1.8771,-2.4516,1.4155,1.6355,0.2195
row_3,0.8617,-3.3814,0.4637,0.6474,-1.315
row_4,0.3922,-1.1634,1.0827,0.1116,-1.2917
row_5,0.0099,-0.4354,1.0979,2.3321,0.9716
row_6,2.5341,-0.9974,-1.0244,0.4141,1.1219
row_7,0.8257,3.0256,-0.2195,-0.7528,-0.1543
row_8,-1.2611,0.3283,0.1649,1.5251,-0.9126
row_9,-1.3713,1.4972,0.5966,1.2403,1.8217
row_10,1.4615,-1.3158,1.6387,2.7049,-1.0476
row_11,1.031,-1.7268,0.6925,2.4858,0.3151
row_12,2.0518,3.9847,-0.4094,0.6703,1.7056
row_13,0.2638,2.1446,-2.4575,-0.3852,-0.2831
row_14,0.423,-0.6985,-1.9017,0.6481,2.2185
row_15,0.2109,1.9804,0.8093,0.0814,1.2672
row_16,1.7962,-1.5288,-0.7304,-2.4507,0.3038
row_17,0.9419,-0.8743,-1.8326,1.35,-0.881
row_18,-1.7372,3.9017,-1.5152,1.0014,1.358
row_19,-0.7275,-1.516,-2.2526,0.5305,1.4597
row_20,1.2618,-1.2339,-0.0869,3.3421,0.3172
row_21,0.6251,-1.6036,-1.2758,0.8195,2.3249
row_22,-1.4206,1.9473,0.1162,-1.8427,1.4763
row_23,3.4174,-0.9008,0.4147,-0.6448,0.4335
row_24,0.6993,1.8039,-1.5272,1.6414,-1.3384
row_25,2.0897,-1.6621,0.8365,0.1899,-2.8222
row_26,0.3393,0.1489,1.3112,1.2325,0.9607
row_27,1.8729,-0.5931,-1.5048,0.5382,2.7314
row_28,1.3425,-1.2771,1.6475,-0.0659,-4.4387
row_29,2.2155,-1.4292,-3.4512,0.8721,0.152
row_30,1.0535,-1.3295,-1.5121,0.3434,-0.6117
row_31,-0.2398,1.3619,-0.5355,-0.4634,-1.2759
row_32,0.2231,0.2096,3.063,0.1971,-1.0947
row_33,1.123,2.4107,2.131,-1.9042,0.8252
row_34,0.389,-1.3377,-2.6911,-0.613,0.652
row_35,0.4838,-1.036,1.281,1.8175,-3.5125
row_36,2.5134,-1.7029,-0.3602,0.8126,0.7524
row_37,-1.581,2.0418,-1.3829,1.7472,0.6926
row_38,1.5926,-0.8762,0.2331,-0.4579,-0.5873
row_39,-1.2391,-2.6004,0.5556,0.4639,1.8049
row_40,-1.797,1.5399,-1.6294,-1.4174,1.8683
row_41,-0.88,1.7288,1.9804,1.43,-0.6191
row_42,-1.0032,-0.2227,0.5521,1.1563,-0.6481
row_43,0.493,0.6204,1.5394,-1.4467,-1.6637
row_44,-1.5433,0.4448,2.3745,-0.984,-0.7736
row_45,-1.3936,-0.8544,0.1607,-0.6142,0.7647
row_46,-1.0335,-0.8667,-1.7216,-0.5634,1.2611
row_47,3.3913,1.9201,-1.0574,-2.0395,-0.5574
row_48,-0.0173,-1.4878,1.0733,1.5919,-1.641
row_49,-0.3945,0.1831,-2.103,1.6218,-0.7598
row_50,-1.5583,1.271,-0.9196,0.0026,-0.3766
row_51,0.8586,0.1418,-0.8654,0.3993,-0.061
row_52,0.0122,-0.627,1.0913,-1.2425,0.5142
row_53,-0.5901,2.6489,-2.0093,-2.6039,0.8681
row_54,0.5415,-0.3865,-0.5788,1.336,-1.1235
row_55,-0.1798,1.9293,0.5498,0.8997,-1.0336
row_56,2.3325,-2.2679,1.0521,-0.24,-3.4213
row_57,-1.5001,-3.3331,0.4224,0.6094,0.0266
row_58,0.6787,3.133,0.9528,-0.3529,-2.0279
row_59,-1.74,-0.0824,-0.3004,-3.3642,-1.7438
row_60,-0.2429,2.5512,1.0307,2.7819,-4.0546
row_61,6.9025,6.3134,-4.8163,1.9251,4.2615
row_62,11.0661,8.0956,-7.9439,5.8282,7.0074
row_63,9.3366,6.3965,-8.3319,1.9187,5.4944
row_64,6.836,10.209,-5.845,3.9785,7.6308
row_65,7.9861,9.7426,-6.5446,5.9364,4.5724
row_66,6.3923,9.2902,-5.2735,5.5942,5.8416
row_67,10.2994,9.3991,-6.0546,3.651,4.4404
row_68,10.812,7.849,-7.0603,1.2473,6.7579
row_69,10.6621,5.7868,-9.3346,3.1654,7.2068
row_70,10.5898,7.5218,-7.541,2.2073,4.1004
row_71,8.4978,10.5471,-6.7211,3.0591,9.3672
row_72,12.1894,9.3484,-7.1825,3.9287,4.914
row_73,11.1007,9.0593,-8.2248,2.746,5.8605
row_74,8.8739,7.9347,-7.3747,5.2591,7.1327
row_75,8.8528,7.6195,-7.2617,5.9095,3.1812
row_76,9.956,6.8419,-4.6341,6.6875,7.139
row_77,8.5258,6.6464,-7.0094,2.9772,7.2189
row_78,11.372,7.8899,-6.2456,3.941,5.3369
row_79,8.8963,8.2507,-7.7433,4.6772,7.2939
row_80,10.3279,8.0315,-6.6378,5.0479,6.3311
row_81,7.815,6.3361,-8.9179,5.0701,4.1339
row_82,8.273,11.5908,-4.6824,4.353,5.0006
row_83,6.8451,8.4751,-8.4937,2.9523,5.8347
row_84,9.7406,8.45,-6.1971,4.5782,5.611
row_85,9.4765,10.5838,-6.4656,5.5589,6.0412
row_86,8.2709,11.1112,-8.4599,3.4488,5.8719
row_87,7.8211,8.8656,-8.4545,3.2477,7.3253
row_88,9.2796,6.9509,-5.6136,5.8952,3.5589
row_89,7.0426,10.0282,-5.1291,2.0967,5.7128
row_90,8.3598,10.9581,-9.0706,1.7316,7.456
row_91,11.2766,10.1961,-4.9424,4.2382,7.3518
row_92,8.5549,11.2751,-6.7736,4.8154,8.0788
row_93,12.0729,7.9525,-7.7106,0.1894,6.5089
row_94,10.4002,11.4771,-5.775,2.346,6.3719
row_95,8.4587,7.5562,-5.2288,2.0403,6.8548
row_96,8.9701,8.6797,-6.4211,5.129,8.2385
row_97,9.5861,7.8214,-5.7431,1.8759,3.5798
row_98,7.3512,6.9777,-5.2973,1.9538,7.2342
row_99,9.7244,10.5707,-9.2535,4.0119,6.0745
row_100,7.4653,7.2857,-9.4076,4.054,7.2115
row_101,10.3796,9.621,-6.8417,4.4775,6.5482
row_102,8.5096,8.6256,-8.3895,1.9085,4.3827
row_103,9.657,8.1882,-6.7877,2.8266,8.3501
row_104,11.753,9.8114,-4.9868,3.3934,4.4854
