id,dim_1,dim_2,dim_3,dim_4,dim_5
row_1,4.685,-3.5,-4.2941,0.7591,7.5058
row_2,2.6167,-0.016,-2.8551,5.6318,-7.7194
row_3,5.7173,-5.9691,-1.5155,6.6999,1.6264
row_4,-7.1799,3.4445,-2.666,9.4323,-9.216
row_5,8.304,-8.7563,-7.4395,-6.1613,-9.8579
row_6,8.802,-0.9585,2.693,9.7682,-5.344
row_7,-0.6407,-3.0352,-8.9473,0.4244,-8.0927
row_8,-8.8436,9.2059,6.1005,-9.9875,9.6416
row_9,-8.5496,9.4475,0.5478,-6.1048,3.5578
row_10,-8.9704,5.5594,8.2318,6.5426,-1.0866
row_11,8.9768,-8.577,4.2819,9.6006,6.7775
row_12,2.8317,0.4884,-9.3373,6.9755,6.7767
row_13,0.9597,-3.75,8.0516,8.5671,-1.0609
row_14,-3.0146,-9.631,9.0466,-3.733,-1.2349
row_15,5.9839,7.3475,8.3903,-1.3638,-5.8581
row_16,2.9245,2.4834,4.2642,8.7605,-5.8972
row_17,-4.4231,-3.0939,0.745,-9.4504,-4.2382
row_18,6.6135,-6.6558,5.5394,-2.1101,-1.6174
row_19,-2.0954,6.8752,-0.487,9.7901,-4.8013
row_20,-8.297,4.1611,-9.588,4.6849,5.6388
row_21,2.9495,-4.2672,-3.4657,3.0299,-7.8497
row_22,-6.242,4.6487,9.5094,2.6094,-7.7195
row_23,1.5662,8.9117,-9.4247,1.5631,0.33
row_24,4.3555,6.9323,-1.4957,0.221,-8.6384
row_25,7.254,-1.0933,-5.4647,1.6491,-0.7817
row_26,1.3907,0.4194,-3.9318,-5.6972,8.1289
row_27,1.9992,0.3939,-5.924,-6.8855,-4.9763
row_28,6.4381,-6.2166,9.5517,-5.4462,6.3357
row_29,-3.5511,-3.7055,4.7964,8.2255,-2.5544
row_30,-1.8926,6.4208,7.8755,-3.2495,-1.4254
row_31,8.0452,8.4551,0.768,6.6834,-7.1183
row_32,-2.5208,-3.8258,-7.2172,-3.7828,8.0401
row_33,-4.7806,-4.3598,7.6138,-7.6253,-5.8299
row_34,-8.8133,3.5024,3.6412,1.7608,5.7807
row_35,-2.5734,7.1666,-8.8571,3.4835,3.7306
row_36,7.1405,-6.7139,1.0216,-6.3203,-2.0436
row_37,-2.603,7.6543,1.7682,4.9685,-9.6221
row_38,3.5351,-8.1823,7.8617,-9.7662,-4.8333
row_39,-7.9147,8.4602,-7.902,3.03,0.6893
row_40,0.0022,-9.469,-2.7795,0.2264,8.3019
row_41,-7.1279,3.2679,2.075,-6.5232,-9.0826
row_42,-0.1533,6.5957,0.679,2.7557,2.8693
row_43,-0.8745,3.7051,-7.534,-0.8557,-6.7649
row_44,3.2985,-9.5509,4.0762,6.9702,-5.4996
row_45,-6.986,-2.7397,8.7041,-2.4581,-1.3342
row_46,0.1812,3.5493,-1.5404,-8.7007,1.4202
row_47,3.6423,-3.0608,-0.4209,2.1501,5.6067
row_48,-8.9115,9.0822,7.6157,-7.0166,-2.6561
row_49,-1.9354,-9.6604,-0.0478,9.4341,-5.6443
row_50,-6.061,-9.4731,-9.8235,1.157,-0.7318
row_51,-0.0311,5.3434,-5.4077,0.4772,5.9904
